😀,face | grin
😁,eye | face | grin | smile
😂,face | joy | laugh | tear
🤣,face | floor | laugh | rolling
😃,face | mouth | open | smile
😄,eye | face | mouth | open | smile
😅,cold | face | open | smile | sweat
😆,face | laugh | mouth | open | satisfied | smile
😉,face | wink
😊,blush | eye | face | smile
😋,delicious | face | savouring | smile | um | yum
😎,bright | cool | eye | eyewear | face | glasses | smile | sun | sunglasses
😍,eye | face | love | smile
😘,face | kiss
😗,face | kiss
😙,eye | face | kiss | smile
😚,closed | eye | face | kiss
☺,face | outlined | relaxed | smile
🙂,face | smile
🤗,face | hug | hugging
🤩,eyes | face | grinning | star | <span class="keye">starry-eyed</span>
🤔,face | thinking
🤨,distrust | skeptic | <span class="keye">disapproval</span> | <span class="keye">disbelief</span> | <span class="keye">mild surprise</span> | <span class="keye">scepticism</span>
😐,deadpan | face | neutral
😑,expressionless | face | inexpressive | unexpressive
😶,face | mouth | quiet | silent
🙄,eyes | face | rolling
😏,face | smirk
😣,face | persevere
😥,disappointed | face | relieved | whew
😮,face | mouth | open | sympathy
🤐,face | mouth | zipper
😯,face | hushed | stunned | surprised
😪,face | sleep
😫,face | tired
😴,face | sleep | zzz
😌,face | relieved
😛,face | tongue
😜,eye | face | joke | tongue | wink
😝,eye | face | horrible | taste | tongue
🤤,drooling | face
😒,face | unamused | unhappy
😓,cold | face | sweat
😔,dejected | face | pensive
😕,confused | face
🙃,face | upside-down
🤑,face | money | mouth
😲,astonished | face | shocked | totally
☹,face | frown
🙁,face | frown
😖,confounded | face
😞,disappointed | face
😟,face | worried
😤,face | triumph | won
😢,cry | face | sad | tear
😭,cry | face | sad | sob | tear
😦,face | frown | mouth | open
😧,anguished | face
😨,face | fear | fearful | scared
😩,face | tired | weary
🤯,shocked
😬,face | grimace
😰,blue | cold | face | mouth | open | rushed | sweat
😱,face | fear | fearful | munch | scared | scream
😳,dazed | face | flushed
🤪,eye | large | small
😵,dizzy | face
😡,angry | face | mad | pouting | rage | red
😠,angry | face | mad
🤬,<span class="keye">cursing</span>
😷,cold | doctor | face | mask | medicine | sick
